LTI,Observation.related.to,Type.of.Activity,Observation.Category,Reason.for.Deviation,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Shared Services,Contractor,Others,Not Followed,Procedure Not Adequate,Thu,December,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Workplace Safety,Process,SIF,Topic 6,Medium,First Aid
Steel Manufacturing,Employee,Others,Uneasiness,Procedure Not Followed,Thu,December,Material Handling,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SNR,Topic 6,Low,First Aid
Corporate Services,Employee,Others,Caught Between,Procedure Not Followed,Thu,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SAF,Topic 2,Medium,First Aid
Steel Manufacturing,Employee,Operations,Process Safety,Procedure Not Followed,Fri,December,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SNNR,Topic 9,Low,Medical case
Corporate Services,Employee,Operations,Workplace Safety,Procedure Not Adequate,Thu,December,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Barricading,Behaviour,SAF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Others,Workplace Safety,Procedure Not Followed,Fri,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Others,Contractor,Maintenance,Road Safety,Procedure Not Followed,Mon,May,Material Handling,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNR,Topic 5,High,First Aid
Shared Services,Employee,Maintenance,Workplace Safety,Procedure Not Adequate,Fri,May,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,PPE,Behaviour,SIF,Topic 6,Low,First Aid
Engineering & Project,Contractor,Others,Orderliness,Procedure Not Followed,Thu,May,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Engineering & Project,Employee,Others,Material Handling,Procedure Not Adequate,Fri,June,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Condition,PPE,Behaviour,SNNR,Topic 3,Low,First Aid
Shared Services,Employee,Operations,Not Maintained,Procedure Not Existing,Thu,June,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SAF,Topic 3,Medium,Medical case
Engineering & Project,Employee,Others,Barricading,Procedure Not Existing,Mon,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SAF,Topic 3,Medium,Medical case
Engineering & Project,Employee,Others,Workplace Safety,Procedure Not Existing,Tue,June,Hot Metals,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Construction,Barricading,Procedure Not Followed,Thu,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SNR,Topic 9,Low,First Aid
Engineering & Project,Contractor,Construction,Excavation,Procedure Not Followed,Wed,June,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Workplace Safety,Behaviour,SNR,Topic 1,High,Medical case
Shared Services,Employee,Maintenance,Uneasiness,Procedure Not Adequate,Wed,June,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Others,Behaviour,SNNR,Topic 3,High,Medical case
Others,Contractor,Others,Workplace Safety,Procedure Not Adequate,Sat,July,Dashing/Collision,Single Working,Not Applicable,Unsafe Act,Confine Space,Behaviour,SNNR,Topic 9,High,First Aid
Shared Services,Employee,Maintenance,Orderliness,Procedure Not Followed,Fri,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Barricading,Process,SIF,Topic 6,Medium,First Aid
Engineering & Project,Contractor,Construction,Excavation,Procedure Not Adequate,Tue,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SNR,Topic 8,High,LTI
Others,Employee,Transportation,PPE,Procedure Not Adequate,Wed,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Employee,Maintenance,Barricading,Procedure Not Adequate,Sat,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 3,Medium,Medical case
Shared Services,Employee,Maintenance,Others,Procedure Not Adequate,Fri,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Electrical Safety,Process,SINF,Topic 6,Low,First Aid
Shared Services,Employee,Maintenance,Others,Procedure Not Existing,Sun,August,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 3,Low,First Aid
Others,Employee,Others,Others,Procedure Not Followed,Fri,August,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNR,Topic 9,High,First Aid
Shared Services,Employee,Maintenance,Workplace Safety,Procedure Not Adequate,Thu,August,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SINF,Topic 4,Low,First Aid
Shared Services,Employee,Maintenance,Environment,Procedure Not Followed,Sat,September,Road Incident,Single Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SAF,Topic 9,Low,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Existing,Fri,September,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Others,Employee,Others,Workplace Safety,Procedure Not Adequate,Wed,September,Dashing/Collision,Single Working,M/C Idle,Unsafe Act by Other,Barricading,Behaviour,SAF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Construction,Workplace Safety,Procedure Not Adequate,Wed,October,Structural Integrity,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SIF,Topic 1,High,Medical case
Steel Manufacturing,Contractor,Operations,Not Understood,Procedure Not Followed,Mon,October,Structural Integrity,Group Working,M/C Idle,Unsafe Act,Orderliness,Behaviour,SANF,Topic 8,Low,First Aid
Shared Services,Contractor,Others,Workplace Safety,Procedure Not Adequate,Sat,October,Road Incident,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SIF,Topic 6,Low,First Aid
Engineering & Project,Employee,Others,Electrical Safety,Procedure Not Followed,Mon,November,Process Incidents,Single Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Corporate Services,Employee,Others,Tools & Equipment,Procedure Not Followed,Thu,November,Material Handling,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SIF,Topic 6,Low,Medical case
Engineering & Project,Employee,Transportation,Not Understood,Procedure Not Adequate,Mon,November,Road Incident,Not Applicable,M/C Idle,Unsafe Act,Excavation,Behaviour,SIF,Topic 9,Low,Medical case
Engineering & Project,Contractor,Others,Workplace Safety,Procedure Not Followed,Sat,November,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 9,Medium,LTI
Engineering & Project,Employee,Others,Uneasiness,Procedure Not Followed,Wed,November,Material Handling,Not Applicable,Not Applicable,Unsafe Condition,PPE,Process,SNNR,Topic 7,Low,Medical case
Engineering & Project,Contractor,Operations,Others,Procedure Not Followed,Mon,November,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Others,Barricading,Procedure Not Followed,Fri,December,Road Incident,Group Working,M/C Idle,Unsafe Condition,Workplace Safety,Behaviour,SNR,Topic 4,Low,First Aid
Engineering & Project,Contractor,Errection & Commissioning,Falling,Procedure Not Followed,Sat,December,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Process,SINF,Topic 1,High,First Aid
Shared Services,Employee,Others,Others,Procedure Not Followed,Wed,December,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Operations,Process Safety,Procedure Not Adequate,Thu,April,Energy Isolation,Not Applicable,M/C Idle,Unsafe Act,Orderliness,Behaviour,SNNR,Topic 4,Low,First Aid
Raw Materials,Employee,Operations,Process Safety,Procedure Not Followed,Thu,April,Dashing/Collision,Not Applicable,M/C Idle,Unsafe Act,Orderliness,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Wed,April,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Process,SIF,Topic 8,Low,Medical case
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Wed,April,Rail,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Process,SIF,Topic 8,Low,Medical case
Raw Materials,Employee,Others,Fire Safety,Procedure Not Existing,Tue,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 6,Low,Medical case
Raw Materials,Employee,Others,Fire Safety,Procedure Not Existing,Tue,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 6,Low,Medical case
Raw Materials,Employee,Operations,Not Maintained,Procedure Not Followed,Sun,April,Structural Integrity,Group Working,M/C Working,Unsafe Act,Process Safety,Process,SIF,Topic 6,High,First Aid
Raw Materials,Employee,Operations,Not Maintained,Procedure Not Followed,Sun,April,Process Incidents,Group Working,Not Applicable,Unsafe Act,Process Safety,Process,SIF,Topic 6,High,First Aid
Shared Services,Employee,Others,Others,Procedure Not Followed,Mon,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Excavation,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Employee,Maintenance,Material Handling,Procedure Not Followed,Mon,May,Rail,Group Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Maintenance,Workplace Safety,Procedure Not Followed,Mon,May,Rail,Group Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SNNR,Topic 4,Low,First Aid
Corporate Services,Employee,Maintenance,Electrical Safety,Procedure Not Followed,Thu,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Electrical Safety,Process,SANF,Topic 6,Low,First Aid
Others,Employee,Others,Uneasiness,Procedure Not Followed,Sat,May,Slip/Trip/Fall,Not Applicable,M/C Working,Unsafe Act by Other,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Employee,Transportation,Barricading,Procedure Not Followed,Sun,May,Material Handling,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SAF,Topic 3,High,Medical case
Shared Services,Employee,Maintenance,Uneasiness,Procedure Not Existing,Sun,June,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 6,Low,Medical case
Shared Services,Employee,Others,Uneasiness,Procedure Not Adequate,Wed,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SAF,Topic 3,Low,Medical case
Corporate Services,Employee,Operations,PPE,Procedure Not Followed,Sat,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Orderliness,Process,SANF,Topic 2,Low,First Aid
Steel Manufacturing,Contractor,Others,Orderliness,Procedure Not Followed,Mon,June,Process Incidents,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SANF,Topic 4,High,First Aid
 TQM & Steel Business ,Employee,Operations,Barricading,Procedure Not Followed,Sat,June,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Maintenance,Material Handling,Procedure Not Followed,Mon,June,Material Handling,Single Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SINF,Topic 5,Low,First Aid
Corporate Services,Employee,Maintenance,Tools & Equipment,Procedure Not Followed,Tue,June,Road Incident,Single Working,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Maintenance,Barricading,Procedure Not Adequate,Wed,July,Skidding,Single Working,M/C Working,Unsafe Act,Excavation,Process,SANF,Topic 2,Low,First Aid
Raw Materials,Employee,Transportation,Workplace Safety,Procedure Not Followed,Mon,July,Derailment,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 4,Low,Medical case
Raw Materials,Employee,Transportation,Workplace Safety,Procedure Not Followed,Mon,July,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Electrical Safety,Behaviour,SINF,Topic 4,Low,Medical case
Raw Materials,Contractor,Maintenance,Health,Procedure Not Followed,Fri,July,Skidding,Not Applicable,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Contractor,Maintenance,Health,Procedure Not Followed,Fri,July,Skidding,Not Applicable,Not Applicable,Unsafe Act,Orderliness,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Operations,Uneasiness,Procedure Not Adequate,Tue,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,High,First Aid
 TQM & Steel Business ,Employee,Operations,Workplace Safety,Procedure Not Followed,Sat,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SINF,Topic 1,Medium,First Aid
Corporate Services,Employee,Operations,Not Maintained,Procedure Not Followed,Fri,August,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 2,Low,First Aid
Engineering & Project,Contractor,Construction,Orderliness,Procedure Not Followed,Thu,August,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SINF,Topic 1,Low,First Aid
Shared Services,Employee,Transportation,Barricading,Procedure Not Followed,Wed,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Barricading,Behaviour,SAF,Topic 4,Low,First Aid
Shared Services,Employee,Maintenance,Workplace Safety,Procedure Not Existing,Tue,August,Process Incidents,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Raw Materials,Contractor,Construction,Eyes & Face,Procedure Not Followed,Wed,August,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SINF,Topic 7,Low,Medical case
Raw Materials,Contractor,Construction,Temp. Elect. Wiring,Procedure Not Existing,Wed,August,Material Handling,Group Working,M/C Working,Unsafe Act,Gas Cutting & Welding,Behaviour,SANF,Topic 7,Low,Medical case
Shared Services,Employee,Maintenance,Falling,Procedure Not Followed,Sun,August,Process Incidents,Single Working,Not Applicable,Unsafe Act by Other,Barricading,Behaviour,SNR,Topic 4,Low,First Aid
Corporate Services,Employee,Maintenance,Health,Procedure Not Existing,Thu,September,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Others,Behaviour,SINF,Topic 4,Medium,First Aid
Corporate Services,Employee,Maintenance,Uneasiness,Procedure Not Followed,Thu,September,Hot Metals,Group Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Corporate Services,Employee,Operations,PPE,Procedure Not Existing,Thu,September,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Gas Cutting & Welding,Process,SIF,Topic 2,Low,First Aid
Corporate Services,Employee,Operations,Not Maintained,Procedure Not Followed,Tue,September,Hot Metals,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SIF,Topic 2,Low,First Aid
Raw Materials,Contractor,Others,Fire Safety,Procedure Not Adequate,Mon,September,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Barricading,Behaviour,SINF,Topic 5,High,Medical case
Raw Materials,Contractor,Others,Fire Safety,Procedure Not Followed,Mon,September,Road Incident,Group Working,M/C Working,Unsafe Act,Barricading,Behaviour,SINF,Topic 5,High,Medical case
Corporate Services,Employee,Operations,Road Safety,Procedure Not Followed,Thu,September,Road Incident,Single Working,M/C Idle,Unsafe Act,Orderliness,Process,SANF,Topic 2,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Wed,September,Skidding,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SAF,Topic 4,Low,Medical case
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Wed,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SAF,Topic 6,Low,Medical case
 TQM & Steel Business ,Employee,Operations,Not Maintained,Procedure Not Followed,Wed,September,Skidding,Single Working,Not Applicable,Unsafe Act,PPE,Behaviour,SIF,Topic 4,High,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Existing,Mon,September,Hot Metals,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Operations,Workplace Safety,Procedure Not Followed,Sat,September,Process Incidents,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SINF,Topic 8,High,LTI
Corporate Services,Employee,Operations,Material Handling,Procedure Not Followed,Fri,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 2,Low,First Aid
Shared Services,Employee,Operations,Workplace Safety,Procedure Not Followed,Thu,September,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Maintenance,Health,Procedure Not Followed,Fri,October,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Orderliness,Process,SANF,Topic 7,Low,First Aid
Corporate Services,Contractor,Maintenance,Not Maintained,Procedure Not Followed,Thu,October,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SAF,Topic 6,Low,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Followed,Tue,October,Process Incidents,Single Working,Not Applicable,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 4,Low,Medical case
Shared Services,Employee,Operations,Workplace Safety,Procedure Not Followed,Fri,October,Run Over,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 3,Low,Medical case
