Division,Observation.related.to,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Shared Services,Employee,Wed,December,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Thu,April,Energy Isolation,Not Applicable,M/C Idle,Unsafe Act,Dismantling,Behaviour,SNNR,Topic 4,Low,First Aid
Raw Materials,Employee,Thu,April,Dashing/Collision,Not Applicable,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Wed,April,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Process,SIF,Topic 8,Low,Medical case
Raw Materials,Employee,Wed,April,Rail,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Process,SIF,Topic 8,Low,Medical case
Raw Materials,Employee,Tue,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 6,Low,Medical case
Raw Materials,Employee,Tue,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 6,Low,Medical case
Raw Materials,Employee,Sun,April,Structural Integrity,Group Working,M/C Working,Unsafe Act,Process Safety,Process,SIF,Topic 6,High,First Aid
Raw Materials,Employee,Sun,April,Process Incidents,Group Working,Not Applicable,Unsafe Act,Process Safety,Process,SIF,Topic 6,High,First Aid
Shared Services,Employee,Mon,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Excavation,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Employee,Mon,May,Rail,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Mon,May,Rail,Group Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SNNR,Topic 4,Low,First Aid
Corporate Services,Employee,Thu,May,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Electrical Safety,Process,SANF,Topic 6,Low,First Aid
Others,Employee,Sat,May,Slip/Trip/Fall,Not Applicable,M/C Working,Unsafe Act by Other,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Employee,Sun,May,Material Handling,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SAF,Topic 3,High,Medical case
Shared Services,Employee,Sun,June,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 6,Low,Medical case
Shared Services,Employee,Wed,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SAF,Topic 3,Low,Medical case
Corporate Services,Employee,Sat,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Dismantling,Process,SANF,Topic 2,Low,First Aid
Steel Manufacturing,Contractor,Mon,June,Process Incidents,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SANF,Topic 4,High,First Aid
 TQM & Steel Business ,Employee,Sat,June,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Mon,June,Material Handling,Single Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SINF,Topic 5,Low,First Aid
Corporate Services,Employee,Tue,June,Road Incident,Single Working,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Wed,July,Skidding,Single Working,M/C Working,Unsafe Act,Excavation,Process,SANF,Topic 2,Low,First Aid
Raw Materials,Employee,Mon,July,Derailment,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 4,Low,Medical case
Raw Materials,Employee,Mon,July,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Electrical Safety,Behaviour,SINF,Topic 4,Low,Medical case
Raw Materials,Contractor,Fri,July,Skidding,Not Applicable,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Contractor,Fri,July,Skidding,Not Applicable,Not Applicable,Unsafe Act,Dismantling,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Tue,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,High,First Aid
 TQM & Steel Business ,Employee,Sat,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SINF,Topic 1,Medium,First Aid
Corporate Services,Employee,Fri,August,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 2,Low,First Aid
Engineering & Project,Contractor,Thu,August,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SINF,Topic 1,Low,First Aid
Shared Services,Employee,Wed,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Barricading,Behaviour,SAF,Topic 4,Low,First Aid
Shared Services,Employee,Tue,August,Process Incidents,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Raw Materials,Contractor,Wed,August,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SINF,Topic 7,Low,Medical case
Raw Materials,Contractor,Wed,August,Material Handling,Group Working,M/C Working,Unsafe Act,Gas Cutting & Welding,Behaviour,SANF,Topic 7,Low,Medical case
Shared Services,Employee,Sun,August,Process Incidents,Single Working,Not Applicable,Unsafe Act by Other,Barricading,Behaviour,SNR,Topic 4,Low,First Aid
Corporate Services,Employee,Thu,September,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Others,Behaviour,SINF,Topic 4,Medium,First Aid
Corporate Services,Employee,Thu,September,Hot Metals,Group Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Corporate Services,Employee,Thu,September,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Gas Cutting & Welding,Process,SIF,Topic 2,Low,First Aid
Corporate Services,Employee,Tue,September,Hot Metals,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SIF,Topic 2,Low,First Aid
Raw Materials,Contractor,Mon,September,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Barricading,Behaviour,SINF,Topic 5,High,Medical case
Raw Materials,Contractor,Mon,September,Road Incident,Group Working,M/C Working,Unsafe Act,Barricading,Behaviour,SINF,Topic 5,High,Medical case
Corporate Services,Employee,Thu,September,Road Incident,Single Working,M/C Idle,Unsafe Act,Dismantling,Process,SANF,Topic 2,Low,First Aid
Raw Materials,Employee,Wed,September,Skidding,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SAF,Topic 4,Low,Medical case
Raw Materials,Employee,Wed,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SAF,Topic 6,Low,Medical case
 TQM & Steel Business ,Employee,Wed,September,Skidding,Single Working,Not Applicable,Unsafe Act,PPE,Behaviour,SIF,Topic 4,High,First Aid
Shared Services,Employee,Mon,September,Hot Metals,Single Working,M/C Working,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Sat,September,Process Incidents,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SINF,Topic 8,High,LTI
Corporate Services,Employee,Fri,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 2,Low,First Aid
Shared Services,Employee,Thu,September,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Fri,October,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Dismantling,Process,SANF,Topic 7,Low,First Aid
Corporate Services,Contractor,Thu,October,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SAF,Topic 6,Low,First Aid
Shared Services,Employee,Tue,October,Process Incidents,Single Working,Not Applicable,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 4,Low,Medical case
Shared Services,Employee,Fri,October,Run Over,Not Applicable,Not Applicable,Unsafe Condition,Dismantling,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Wed,October,Material Handling,Group Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 1,Low,First Aid
Corporate Services,Employee,Wed,October,Road Incident,Group Working,M/C Working,Unsafe Condition,Excavation,Behaviour,SANF,Topic 1,Low,First Aid
Corporate Services,Employee,Sat,October,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Sat,October,Material Handling,Group Working,M/C Working,Unsafe Act,Orderliness,Process,SINF,Topic 2,Low,First Aid
Corporate Services,Employee,Fri,October,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Orderliness,Process,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Tue,October,Material Handling,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Dismantling,Process,SANF,Topic 8,Low,First Aid
Corporate Services,Employee,Fri,October,Material Handling,Single Working,M/C Idle,Unsafe Condition,Dismantling,Process,SAF,Topic 2,Low,First Aid
Corporate Services,Employee,Thu,October,Process Incidents,Group Working,M/C Working,Unsafe Act,Dismantling,Process,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Wed,October,Equipment Machinery Damage,Group Working,Not Applicable,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Corporate Services,Employee,Tue,November,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,PPE,Behaviour,SANF,Topic 2,Low,First Aid
Steel Manufacturing,Employee,Mon,November,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Corporate Services,Contractor,Thu,November,Road Incident,Single Working,Not Applicable,Unsafe Condition,Material Handling,Behaviour,SAF,Topic 7,Low,Medical case
Corporate Services,Contractor,Mon,November,Road Incident,Single Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 9,Low,First Aid
Corporate Services,Contractor,Mon,November,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SANF,Topic 2,Low,First Aid
Shared Services,Contractor,Sat,November,Material Handling,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Electrical Safety,Process,SANF,Topic 6,Low,First Aid
Raw Materials,Employee,Wed,November,Process Incidents,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SNR,Topic 1,Low,First Aid
Raw Materials,Employee,Wed,November,Hydraulic/Pneumatic,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SNR,Topic 1,Low,First Aid
Corporate Services,Employee,Wed,November,Material Handling,Group Working,M/C Idle,Unsafe Act,Dismantling,Process,SANF,Topic 2,Low,First Aid
Steel Manufacturing,Employee,Wed,November,Process Incidents,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Corporate Services,Employee,Wed,November,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Excavation,Behaviour,SANF,Topic 2,Low,First Aid
Raw Materials,Employee,Fri,November,Run Over,Single Working,M/C Working,Unsafe Condition,Fire Safety,Process,SINF,Topic 5,Low,First Aid
Raw Materials,Employee,Fri,November,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Fire Safety,Process,SANF,Topic 5,Low,First Aid
Shared Services,Employee,Wed,November,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SINF,Topic 9,Low,First Aid
Engineering & Project,Contractor,Thu,December,Fire/Explosion,Group Working,M/C Idle,Unsafe Act by Other,Tools & Equipment,Behaviour,SIF,Topic 1,Low,First Aid
Corporate Services,Employee,Mon,December,Electrical Flash,Single Working,M/C Working,Unsafe Act,PPE,Process,SAF,Topic 2,Low,First Aid
Shared Services,Contractor,Thu,December,Electrical Flash,Group Working,M/C Idle,Unsafe Condition,Others,Behaviour,SINF,Topic 1,High,Medical case
Corporate Services,Employee,Wed,December,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 2,Medium,First Aid
Steel Manufacturing,Employee,Mon,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SNR,Topic 2,Medium,Medical case
Engineering & Project,Employee,Sat,December,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,"Positive Isolations,Process Safety",Process,SANF,Topic 4,Low,First Aid
Corporate Services,Employee,Fri,December,Road Incident,Single Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Corporate Services,Employee,Wed,December,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Thu,April,Material Handling,Single Working,M/C Idle,Unsafe Act,PPE,Behaviour,SNNR,Topic 7,Low,Medical case
Corporate Services,Employee,Thu,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Gas Cutting & Welding,Behaviour,SINF,Topic 9,Low,First Aid
Corporate Services,Employee,Thu,April,Road Incident,Group Working,M/C Idle,Unsafe Act by Other,PPE,Process,SINF,Topic 6,Low,Medical case
 TQM & Steel Business ,Employee,Sat,April,Road Incident,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 9,Medium,First Aid
Engineering & Project,Employee,Sat,April,Road Incident,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Fri,April,Road Incident,Single Working,M/C Idle,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 9,Low,First Aid
Raw Materials,Employee,Fri,April,Dashing/Collision,Single Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SINF,Topic 9,Low,First Aid
Corporate Services,Employee,Wed,April,Process Incidents,Group Working,M/C Working,Unsafe Act,Barricading,Behaviour,SINF,Topic 2,Low,First Aid
Corporate Services,Contractor,Fri,April,Dashing/Collision,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 2,Low,Medical case
Engineering & Project,Employee,Tue,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SANF,Topic 9,Low,First Aid
 TQM & Steel Business ,Employee,Tue,April,Road Incident,Single Working,M/C Working,Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 8,Low,First Aid
Engineering & Project,Employee,Thu,May,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 4,Low,First Aid
Engineering & Project,Employee,Sat,May,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act by Other,Process Safety,Process,SANF,Topic 8,Medium,LTI
Others,Employee,Thu,May,Road Incident,Single Working,M/C Idle,Unsafe Act,Barricading,Behaviour,SAF,Topic 7,Low,First Aid
Bearing Division,Employee,Tue,May,Material Handling,Single Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SIF,Topic 4,Low,First Aid
Steel Manufacturing,Contractor,Sat,June,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SIF,Topic 5,Low,First Aid
Engineering & Project,Employee,Fri,June,Process Incidents,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SANF,Topic 3,High,Medical case
 TQM & Steel Business ,Employee,Tue,June,Material Handling,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 3,Low,Medical case
 TQM & Steel Business ,Employee,Wed,June,Material Handling,Single Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Steel Manufacturing,Contractor,Thu,July,Hot Metals,Single Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Tue,July,Material Handling,Group Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 1,Low,First Aid
Corporate Services,Employee,Wed,July,Material Handling,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Tue,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SAF,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Sat,July,Material Handling,Single Working,M/C Working,Unsafe Act,Others,Behaviour,SANF,Topic 7,Low,First Aid
Corporate Services,Employee,Sat,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SINF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Fri,July,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Steel Manufacturing,Employee,Tue,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Others,Behaviour,SANF,Topic 7,Low,Medical case
Corporate Services,Contractor,Sat,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Steel Manufacturing,Contractor,Fri,August,Material Handling,Single Working,M/C Working,Unsafe Act,Process Safety,Process,SIF,Topic 2,Low,Medical case
Corporate Services,Employee,Wed,August,Material Handling,Single Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 7,Low,First Aid
Others,Employee,Thu,August,Road Incident,Single Working,M/C Working,Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,High,First Aid
Corporate Services,Employee,Thu,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 9,Low,First Aid
Corporate Services,Employee,Thu,September,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 4,Low,First Aid
Corporate Services,Employee,Tue,September,Material Handling,Group Working,M/C Working,Unsafe Condition,Dismantling,Behaviour,SIF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Fri,September,Process Incidents,Single Working,M/C Working,Unsafe Act,Work Permit System,Behaviour,SAF,Topic 1,High,First Aid
Raw Materials,Employee,Wed,September,Medical Ailment,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Process,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Wed,September,Medical Ailment,Group Working,Not Applicable,Unsafe Act,Dismantling,Process,SANF,Topic 7,Low,First Aid
 TQM & Steel Business ,Employee,Sat,September,Material Handling,Single Working,M/C Working,Unsafe Act,Others,Behaviour,SANF,Topic 2,High,First Aid
Corporate Services,Contractor,Mon,October,Material Handling,Single Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SANF,Topic 2,Low,First Aid
Corporate Services,Contractor,Sat,October,Skidding,Single Working,Not Applicable,Unsafe Condition,Dismantling,Behaviour,SNNR,Topic 2,Low,First Aid
Corporate Services,Employee,Sat,October,Structural Integrity,Single Working,M/C Working,Unsafe Condition,PPE,Behaviour,SAF,Topic 2,Low,First Aid
Corporate Services,Employee,Fri,October,Process Incidents,Group Working,M/C Idle,Unsafe Act,Orderliness,Process,SNR,Topic 2,Low,First Aid
